time,open,high,low,close,vol,vol_ccy
2026-06-17 05:27:51,96133.15,96734.07,95890.79,96314.25,604.2857,58201320.7213
2026-06-17 06:27:51,96314.25,96483.06,95942.36,96432.83,141.253,13621422.0617
2026-06-17 07:27:51,96432.83,96769.51,96082.82,96440.92,522.9398,50432796.8381
2026-06-17 08:27:51,96440.92,96765.37,95887.5,96358.9,641.3586,61800612.4876
2026-06-17 09:27:51,96358.9,96783.38,96111.05,96481.23,50.4838,4870740.8461
2026-06-17 10:27:51,96481.23,96768.34,96270.69,96359.4,805.2163,77590165.5976
2026-06-17 11:27:51,96359.4,96532.61,96143.75,96504.32,931.7149,89914507.2468
2026-06-17 12:27:51,96504.32,96766.03,96042.71,96408.34,832.732,80282303.9934
2026-06-17 13:27:51,96408.34,96736.82,96242.3,96552.85,624.6318,60309975.7006
2026-06-17 14:27:51,96552.85,97021.83,96383.06,96646.63,444.0473,42915671.7758
2026-06-17 15:27:51,96646.63,96879.36,96592.19,96834.72,117.142,11343411.054
2026-06-17 16:27:51,96834.72,97256.61,96833.34,97054.48,341.1527,33110396.8072
2026-06-17 17:27:51,97054.48,97495.45,96789.6,97292.42,39.543,3847237.7013
2026-06-17 18:27:51,97292.42,97491.49,96874.81,97461.5,855.1606,83345235.8634
2026-06-17 19:27:51,97461.5,97523.01,97176.01,97520.0,508.7634,49614606.9761
2026-06-17 20:27:51,97520.0,98187.88,97187.38,97731.91,932.6875,91153325.6027
2026-06-17 21:27:51,97731.91,97932.06,97262.19,97680.19,609.3018,59516717.4242
2026-06-17 22:27:51,97680.19,97872.0,97207.73,97763.54,646.1587,63170765.9551
2026-06-17 23:27:51,97763.54,97838.62,97271.26,97662.15,653.7415,63845797.0578
2026-06-18 00:27:51,97662.15,97987.33,97466.28,97744.27,63.189,6176364.2105
2026-06-18 01:27:51,97744.27,97986.4,97560.17,97800.76,709.5161,69391214.6968
2026-06-18 02:27:51,97800.76,98160.53,97216.01,97597.45,269.3107,26284042.3299
2026-06-18 03:27:51,97597.45,97996.58,97594.08,97777.44,111.1034,10863409.3369
2026-06-18 04:27:51,97777.44,98020.42,97526.37,97691.8,964.9136,94264146.8611
2026-06-18 05:27:51,97691.8,98287.75,97681.9,97834.09,87.9528,8604780.8408
2026-06-18 06:27:51,97834.09,98032.21,97557.51,97863.56,185.5136,18155023.2693
2026-06-18 07:27:51,97863.56,98057.29,97532.38,97886.9,566.2654,55429967.3922
2026-06-18 08:27:51,97886.9,98045.86,97519.24,97780.3,258.9434,25319566.2789
2026-06-18 09:27:51,97780.3,98008.35,97395.62,97752.3,345.396,33763253.1655
2026-06-18 10:27:51,97752.3,98201.84,97434.09,97821.87,771.4609,75465742.0247
2026-06-18 11:27:51,97821.87,98087.02,97309.82,97703.69,49.6951,4855394.4057
2026-06-18 12:27:51,97703.69,98122.61,97058.18,97517.27,902.044,87964868.1365
2026-06-18 13:27:51,97517.27,97581.38,97083.05,97373.58,573.7379,55866908.6811
2026-06-18 14:27:51,97373.58,97659.84,97222.44,97490.12,477.9919,46599491.8059
2026-06-18 15:27:51,97490.12,97854.04,97080.29,97505.75,896.4136,87405472.7176
2026-06-18 16:27:51,97505.75,97577.94,97314.69,97440.35,230.9636,22505177.1505
2026-06-18 17:27:51,97440.35,97544.12,97073.3,97524.45,250.2573,24406206.875
2026-06-18 18:27:51,97524.45,97697.4,97181.56,97325.42,475.0653,46235930.4959
2026-06-18 19:27:51,97325.42,97918.22,97299.3,97488.07,11.0862,1080772.7847
2026-06-18 20:27:51,97488.07,97547.71,97208.7,97250.86,893.1278,86857452.2896
2026-06-18 21:27:51,97250.86,97518.28,97109.89,97431.71,51.433,5011209.3858
2026-06-18 22:27:51,97431.71,97435.09,96952.34,97230.18,802.8974,78065854.6454
2026-06-18 23:27:51,97230.18,97605.4,96931.29,97394.64,56.1692,5470582.0663
2026-06-19 00:27:51,97394.64,97728.22,97300.44,97540.12,423.1135,41270539.2486
2026-06-19 01:27:51,97540.12,97711.26,97211.81,97525.69,419.5424,40916165.4472
2026-06-19 02:27:51,97525.69,97804.38,97313.89,97424.39,821.9563,80078591.3876
